Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Project ID,Agency Project ID,Project Name,Project Description,Start Date,Completion Date (B1),Planned Project Completion Date (B2),Projected/Actual Project Completion Date (B2),Lifecycle Cost,Schedule Variance (in days),Schedule Variance (%),Cost Variance ($ M),Cost Variance (%),Planned Cost ($ M),Projected/Actual Cost ($ M),Updated Date,Updated Time,Unique Project ID,Column 24,Column 25,Column 26,Column 27,Column 28
021-211295869,358,21,Department of Transportation,FAAXX155: Next Generation Air/Ground Communications  (NEXCOM) Segment 1a,422,2,NEXCOM Segment 1a FY12 Activities,NEXCOM will install new Very High Frequency (VHF) and Ultra High Frequency (UHF) radios at En Route RCAG and BUEC locations in the three Service Areas. (This project is a part of the program's Acquisition Program Baseline Milestone Last Site Operational Readiness Decision scheduled for completion in FY13).,01/10/2011,30/09/2012,30/09/2012,30/09/2012,28.088267,0,0,2.16297,7.7,28.088266,25.925296,26/06/2012,13:22:39,2,,,,,
021-147277724,359,21,Department of Transportation,FAAXX159: Voice Switching and Control System (VSCS) Tech Refresh,433,A,A - Ground to Ground Switch Programming Language for Microcomputers to C Conversion (G/G PLM2C),Convert Legacy SW to Current Language.,15/04/2007,30/09/2012,30/09/2012,07/06/2012,4.276,115,31.51,8.39E-4,0.87,0.096,0.095161,23/08/2012,11:27:32,A,,,,,
021-147277724,359,21,Department of Transportation,FAAXX159: Voice Switching and Control System (VSCS) Tech Refresh,434,B,B - VSCS Console Equipment Programming Language for Microcomputers to C Conversion (VCE PLM2C),Convert Legacy SW to Current Language.,01/04/2008,30/09/2014,27/02/2013,27/02/2013,6,0,0,-0.018162,-1.18,1.539,1.557162,23/08/2012,11:27:32,B,,,,,
021-147277724,359,21,Department of Transportation,FAAXX159: Voice Switching and Control System (VSCS) Tech Refresh,436,D,D - VTABS Test Controller Replacement (VTC-R),Establish originally intended functionality and eliminate SW instability.,26/05/2010,20/03/2013,20/03/2013,18/09/2012,2.387,183,26.91,0.1175,4.92,2.387,2.2695,23/08/2012,11:27:32,D,,,,,
021-147277724,359,21,Department of Transportation,FAAXX159: Voice Switching and Control System (VSCS) Tech Refresh,438,F,F - Phase II Tech Refresh Program Management and F&E Maintenance Activities,"FAA Full Time Equivalents, Prime Contractor PM, Support Contractors and Engineering Analysis Maintenance Activities.",01/10/2006,30/09/2012,30/09/2012,30/09/2012,53.709,0,0,0,0,10.96,10.96,31/05/2012,13:03:34,F,,,,,
021-147277724,359,21,Department of Transportation,FAAXX159: Voice Switching and Control System (VSCS) Tech Refresh,439,G,G - Planning For Future Segments,Analyze Phase III Tech Refresh Requirements to Extend VSCS to 2027.,01/10/2011,30/09/2014,30/09/2012,30/09/2012,1,0,0,-0.025,-10,0.25,0.275,23/08/2012,11:27:32,G,,,,,
021-147277724,359,21,Department of Transportation,FAAXX159: Voice Switching and Control System (VSCS) Tech Refresh,440,H,H - Enhanced Technician Diagnostic Software ,Enhanced Technician Diagnostic Software to improve technician efficiency and reduce unnecessary maintenance actions.,15/03/2010,22/09/2011,31/07/2011,29/09/2011,3.674,-60,-39.47,-0.012,-4.18,0.287,0.299,21/12/2011,11:48:34,H,,,,,
021-089571105,361,21,Department of Transportation,FAAXX169: Wide Area Augmentation System (WAAS),1194,1,Surveys and Approach Procedures (FY11) - APB MILESTONE,Airport obstruction surveys are required to support instrument flight procedure development. The obstruction surveys provide positioning information of obstacles around the airport environs so procedure developers design procedures with adequate physical separation to ensure safety of flight. Five hundred WAAS procedures are being developed annually to achieve DOT and FAA safety goals.,01/10/2010,30/09/2011,30/09/2011,25/08/2011,10.233,36,9.89,0,0,10.233,10.233,31/05/2012,12:21:56,1,,,,,
021-089571105,361,21,Department of Transportation,FAAXX169: Wide Area Augmentation System (WAAS),1195,2,Release 2 (Communications Architecture Upgrade and GEO Integration),"As a result of the CRW-Galexy XV failure, Rel 2 was split into 2A and 2B activities: 2A is planned to introduce the GAP Filler GEO and require WAAS Problem Report (WPR) to support Gap Filler operation as soon as possible, and 2B is meant to capture all other Rel 2 work efforts. After the CRW-Galexy XV satelite came back online in Dec 2010, efforts re-focused on the deployment of Rel 2B, including the re-insertion of the CRM satellite and telecommunication upgrades.",01/03/2009,30/09/2011,30/09/2011,14/09/2011,7,16,6.64,-0.12,-2.74,4.38,4.5,31/05/2012,12:21:56,2,,,,,
021-089571105,361,21,Department of Transportation,FAAXX169: Wide Area Augmentation System (WAAS),1196,3,Release 3 Development and Deployment (Iono-Robustness) - APB MILESTONE,"Release 3 Development and Deployment activities consist of two releases each, 3A and 3B. 3A addresses Ionospheric upgrades and algorithm test and evaluation. Release 3B consists of GUST upgrades and associated software development.",01/04/2011,30/09/2012,30/09/2012,30/09/2012,20.08,0,0,0.67,3.34,20.08,19.41,23/08/2012,11:27:33,3,,,,,
021-089571105,361,21,Department of Transportation,FAAXX169: Wide Area Augmentation System (WAAS),,4,GEO 5/6/7 Development - APB MILESTONE,"The FAA plans to procure service leases on GEO Satellite Payloads (GSPs) and their associated GUSTs as part of the long-term GEO sustainment strategy for a three-GEO satellite constellation per the WAAS Requirements Document.  Based on the GEO Satellite Market Survey report of April 2010, the market environment may offer multiple satellites of opportunities scheduled to be launched between FY12 and FY16.  Contract award is expected this fiscal year.  This project represents work carried through the 5th GEO Performance Design Review (PDR), planned to complete in September 2013.",01/04/2010,30/09/2013,30/09/2012,30/09/2012,19.11,0,0,0,0,2.52,2.52,31/05/2012,12:21:56,4,,,,,
021-089571105,361,21,Department of Transportation,FAAXX169: Wide Area Augmentation System (WAAS),1198,5,Surveys and Approach Procedures (FY12) - APB MILESTONE,Airport obstruction surveys are required to support instrument flight procedure development.  The obstruction surveys provide positioning information of obstacles around the airport environs so procedure developers design procedures with adequate physical separation to ensure safety of flight.  Five hundred WAAS procedures are being developed annually to achieve DOT and FAA safety goals.,01/10/2011,30/09/2012,30/09/2012,30/09/2012,9.68,0,0,0,0,9.68,9.68,25/07/2012,14:37:35,5,,,,,
021-089571105,361,21,Department of Transportation,FAAXX169: Wide Area Augmentation System (WAAS),1199,6,Safety Computer Development,"The WAAS Safety Computer (SC) is a critical component of the WAAS Program in that the SC executes application software certified in accordance with RTCA/DO-178B, Software Considerations in Airborne Systems and Equipment Certification.  The Safety Computer is a new development activity with contract award expected this fiscal year.",01/11/2010,31/12/2013,30/09/2012,30/09/2012,2.16,0,0,0,0,1.01,1.01,25/07/2012,14:37:35,6,,,,,
021-089571105,361,21,Department of Transportation,FAAXX169: Wide Area Augmentation System (WAAS),1200,7,G-III Receiver Acceptance and Delivery - APB MILESTONE,"The Third Generation WAAS Reference Receiver (G-III) is currently in development and is a form and function technology update to the existing Second Generation (G-II) WRS receiver.  The new receiver will include the current processing capacity of the existing GII WAAS receiver and also provide processing capability for the new L1C, L2C and L5 signals.",01/03/2009,30/06/2013,30/09/2012,30/09/2012,10.66,0,0,-2.84,-36.36,7.81,10.65,31/05/2012,12:21:56,7,,,,,
021-089571105,361,21,Department of Transportation,FAAXX169: Wide Area Augmentation System (WAAS),1201,8,Release 4 WAAS Support - APB MILESTONE,WAAS Release 4 will consist of WAAS application software generation and maintenance improvements.  The first improvement is the consolidation of multiple application software builds into a single unified and streamlined build process.   The second improvement stems from clean-up of application source code and associated development and build tools.,01/10/2010,30/09/2013,01/03/2013,01/03/2013,21.31,0,0,0,0,16.3,16.3,26/06/2012,13:22:40,8,,,,,
021-089571105,361,21,Department of Transportation,FAAXX169: Wide Area Augmentation System (WAAS),1202,9,Dual-Frequency Development,"Phase 4, Dual Frequency Operations will consist of planning and acquisition activities. Acquisition documentation will be developed this year.",01/10/2010,30/09/2013,30/09/2012,31/10/2012,1.603,-31,-4.25,0,0,0.81,0.81,23/08/2012,11:27:33,9,,,,,
021-089571105,361,21,Department of Transportation,FAAXX169: Wide Area Augmentation System (WAAS),1203,10,Communications,"Communications support will be provided for WFO Release 3A and 3B activities, transition support for Second Level Engineering, Tijuana communications node relocation, and communication engineering activities for Dual Frequency contract.",01/07/2011,31/01/2013,31/01/2013,28/02/2013,1.07,-28,-4.83,0,0,1.07,1.07,23/08/2012,11:27:33,10,,,,,
021-089571105,361,21,Department of Transportation,FAAXX169: Wide Area Augmentation System (WAAS),1204,11,Technology Evolution,"Support WAAS Integrity Performance Panel threat model assessments, ionospheric evaluation, and safety analyses. Support ongoing GNSS evolutionary architecture studies in cooperation with GPS Modernization efforts. A major focus for will be to begin to the software development for the L5 algorithms and associated test.",01/07/2011,30/09/2012,30/09/2012,30/09/2012,1.33,0,0,0,0,1.33,1.33,25/10/2011,12:03:13,11,,,,,
021-448268496,362,21,Department of Transportation,FAAXX216: Weather and Radar Processor (WARP),857,1,Sustainment Activities-Segment 1 and 2,Develop minor upgrades to hardware and software until NEXTGEN is operational.,01/03/2011,30/09/2012,30/09/2012,30/09/2012,18.214,0,0,0.001555,0.01,18.214,18.212445,23/08/2012,11:27:33,1,,,,,
021-448268496,362,21,Department of Transportation,FAAXX216: Weather and Radar Processor (WARP),858,2,Security Requirements,Develop and implement annual system authorizations security requirements.,15/12/2011,30/09/2012,30/09/2012,30/09/2012,0.115,0,0,0,0,0.115,0.115,27/04/2012,14:07:53,2,,,,,
021-448268496,362,21,Department of Transportation,FAAXX216: Weather and Radar Processor (WARP),859,3,Telecommunication Requirements,Develop and implement telecommunications software support for WARP to transition off of the remaining interfaces of the NAS Data Information Network (NADIN) system to FAA Telecommunications Infrastructure (FTI).,15/12/2011,30/09/2012,30/09/2012,30/09/2012,0.65,0,0,0,0,0.65,0.65,27/04/2012,14:07:53,3,,,,,
021-006227212,363,21,Department of Transportation,FAAXX036: Terminal Primary Surveillance (TPS),684,2,Airport Surveillance Radar-11 Technology Refreshment,Replacement and upgrade of known obsolete Terminal Radar Digitizing (ASR-11) hardware and software to ensure continued operation of the radar system through its designated lifecycle.,01/10/2008,30/06/2015,30/09/2012,30/09/2012,20.9,0,0,0,0,3.875,3.875,25/07/2012,14:33:05,2,,,,,
021-006227212,363,21,Department of Transportation,FAAXX036: Terminal Primary Surveillance (TPS),685,3,Mobile Airport Surveillance Radar (MASR),Provide short term and emergency surveillance service for existing surveillance asset relocations or in-service moves.,29/03/2011,30/09/2015,30/09/2012,30/09/2012,13.4,0,0,0,0,0.5,0.5,25/07/2012,14:33:05,3,,,,,
021-860081937,364,21,Department of Transportation,FAAXX248: Airport Surface Detection Equipment - Model X (ASDE-X),430,1,Memphis Airport (MEM) ASDE-X,Install ASDE-X at the Memphis International Airport. This is the final site under the initial ASDE-X acquisition.,01/05/2007,21/07/2011,18/05/2011,21/07/2011,13.2,-64,-6400,0,0,0.105,0.105,21/09/2011,09:28:48,1,,,,,
021-860081937,364,21,Department of Transportation,FAAXX248: Airport Surface Detection Equipment - Model X (ASDE-X),431,2,ASDE-X Acquisition Closeout,Deployment Project Closeout.,01/07/2011,30/09/2012,30/09/2012,30/09/2012,1.353684,0,0,0,0,1.353684,1.353684,27/04/2012,14:07:53,2,,,,,
021-541543830,365,21,Department of Transportation,FAAXX294: ATC Beacon Interrogator Replacement (ATCBI-6),1085,1,Operational Readiness Demonstration (ORD) at 3 remaining ATCBI-6 sites and remaining development / modernization / enhancement (DME) activities,"ORD has been completed at 135 sites. This project covers the remaining DME activities which are to complete ORD at 3 remaining ATCBI-6 sites. Once these DME activities are completed, ATCBI-6 will be fully operational / steady state.",01/07/2011,31/12/2011,30/09/2011,27/11/2011,0.45,-58,-63.74,0,0,0.45,0.45,25/01/2012,14:42:41,1,,,,,
021-541543830,365,21,Department of Transportation,FAAXX294: ATC Beacon Interrogator Replacement (ATCBI-6),1086,2,Operational Readiness Demonstration (ORD) at one remaining ATCBI-6 site,"Achieve Operational Readiness Demonstration at Freeport, Bahamas site.",30/03/2012,30/09/2012,30/09/2012,30/09/2012,0.5,0,0,0,0,0.5,0.5,27/04/2012,14:07:54,2,,,,,
021-514765477,368,21,Department of Transportation,FAAXX504: En Route Automation Modernization (ERAM),441,1,En Route Automation Modernization (ERAM),The ERAM system replaces the 40-year old En Route HOST computer and backup system currently used at the twenty FAA Air Route Traffic Control Centers (ARTCC) in the continental United States.,10/12/2002,30/09/2014,30/09/2012,31/12/2012,2622.4,-92,-20.13,-33.94696,-17.09,198.60104,232.548,23/08/2012,13:48:11,1,,,,,
021-161006572,370,21,Department of Transportation,FAAXX600: Oceanic Automation System: Advanced Technologies and Oceanic Procedures (ATOP),444,19,T19 Software Release,This release is the next in a series of software releases which provide both functional safety and efficiency enhancements.,01/07/2010,30/04/2012,30/04/2012,30/04/2012,7.416827,0,0,-0.113099,-1.93,5.860488,5.973587,25/07/2012,14:38:48,19,,,,,
021-161006572,370,21,Department of Transportation,FAAXX600: Oceanic Automation System: Advanced Technologies and Oceanic Procedures (ATOP),445,20,T20 Software Release,This release is the next in a series of software releases which provide both functional safety and efficiency enhancements.,01/11/2010,30/09/2012,30/09/2012,15/10/2012,7.148947,-15,-2.15,-0.472495,-6.61,7.148947,7.621442,23/08/2012,11:31:57,20,,,,,
021-161006572,370,21,Department of Transportation,FAAXX600: Oceanic Automation System: Advanced Technologies and Oceanic Procedures (ATOP),446,21,T21 Software Release,This release is the next in a series of software releases which provide both functional safety and efficiency enhancements.,01/08/2011,31/03/2013,31/10/2012,30/11/2012,6.853979,-30,-6.56,0,0,4.40426,4.40426,23/08/2012,11:31:57,21,,,,,
021-161006572,370,21,Department of Transportation,FAAXX600: Oceanic Automation System: Advanced Technologies and Oceanic Procedures (ATOP),447,22,T22 Software Release,This release is the next in a series of software releases which provide both functional safety and efficiency enhancements.,01/01/2012,31/08/2013,30/09/2012,30/10/2012,5.504064,-30,-10.99,0,0,2.293971,2.293971,23/08/2012,11:31:57,22,,,,,
021-161006572,370,21,Department of Transportation,FAAXX600: Oceanic Automation System: Advanced Technologies and Oceanic Procedures (ATOP),448,23,T23 Software Release,This release is the next in a series of software releases which provide both functional safety and efficiency enhancements.,01/06/2012,31/01/2014,28/02/2013,31/03/2013,5.198326,-31,-11.4,0,0,2.12438,2.12438,23/08/2012,11:31:57,23,,,,,
021-613828465,371,21,Department of Transportation,FAAXX603: Traffic Mgmt Advisor-Single Cntr (TMA),452,6,"Fall 2011 Release, Develop thru Development, Test and Evaluate (DT&E)",Design and Develop Fall 2011 Software Release.,30/04/2010,30/07/2011,30/07/2011,30/07/2011,2.87,0,0,0,0,0.74,0.74,21/09/2011,09:28:51,6,,,,,
021-613828465,371,21,Department of Transportation,FAAXX603: Traffic Mgmt Advisor-Single Cntr (TMA),453,7,"Fall 2011 Release, Test and Implement",Test and Implement Fall 2011 Software Release.,24/03/2011,30/11/2011,30/11/2011,30/11/2011,0.791,0,0,0,0,0.791,0.791,31/05/2012,12:21:57,7,,,,,
021-613828465,371,21,Department of Transportation,FAAXX603: Traffic Mgmt Advisor-Single Cntr (TMA),454,8,Fall 2011 Release -Logistics Pipeline including Training and Tech Manuals,"Design and Develop Training, Technical Manuals for Fall 2011 Software Release.",01/07/2011,02/07/2012,18/04/2012,29/02/2012,0.873,49,24.5,-0.002,-0.23,0.873,0.875,23/08/2012,11:31:58,8,,,,,
021-613828465,371,21,Department of Transportation,FAAXX603: Traffic Mgmt Advisor-Single Cntr (TMA),455,9,"Spring 2012 Release, Develop thru Develop, Test and Evaluate (DT&E)",Design and Develop Spring 2012 Software Release.,21/02/2011,19/03/2012,19/03/2012,19/03/2012,0.59,-165,-62.98,0.02,5.76,0.347,0.327,23/08/2012,11:31:58,9,,,,,
021-613828465,371,21,Department of Transportation,FAAXX603: Traffic Mgmt Advisor-Single Cntr (TMA),456,10,"Spring 2012 Release, Test and Implement",Test and Implement Spring 2012 Software Release.,27/10/2011,20/07/2012,20/07/2012,20/07/2012,0.491,-42,-15.73,0.073,14.87,0.491,0.418,23/08/2012,11:31:58,10,,,,,
021-613828465,371,21,Department of Transportation,FAAXX603: Traffic Mgmt Advisor-Single Cntr (TMA),457,12,"Spring 2013 Release, Develop thru Develop, Test and Evaluate (DT&E)",Design and Develop Spring 2013 Software Release.,11/04/2011,03/03/2013,01/11/2012,01/11/2012,7473000,0,0,0.854,15.58,5.48,4.626,23/08/2012,11:31:58,12,,,,,
021-826990043,373,21,Department of Transportation,FAAXX610: Aviation Safety Knowledge Management (ASKME/AVS),691,ALL,Assimilate Lessons Learned (ALL)," ALL provides the applications necessary to capture lessons learned knowledge - gathered during the certification and production approval process, regulatory development functions, and continued operational safety functions - and then share the knowledge across AIR.",16/02/2010,30/03/2012,30/03/2012,10/09/2012,1.575,-164,-77.73,0.037,3.78,0.979,0.942,25/07/2012,14:43:58,ALL,,,,,
021-996986499,374,21,Department of Transportation,FAAXX705: Traffic Flow Management (TFM),1119,5,TFM-M/ Work Package (WP) 1 program close-out and transition,"TFM-M/WP1 program close out, transition and contract activities for TFMs Technology Refresh contract definitization.",01/04/2011,31/10/2011,31/10/2011,31/10/2011,6.21,0,0,0.098,1.58,6.21,6.112,24/02/2012,13:58:16,5,,,,,
021-996986499,374,21,Department of Transportation,FAAXX705: Traffic Flow Management (TFM),1120,7,TFMS Tech Refresh- Primary Risk Mitigation Effort,Analysis and procurement of spare TFM System critical equipment to keep current system fully functional until TFMS Tech Refresh is complete.,08/07/2011,31/03/2012,31/03/2012,30/06/2012,3.641,-91,-34.08,-0.021,-0.58,3.641,3.662,25/07/2012,14:44:52,7,,,,,
021-996986499,374,21,Department of Transportation,FAAXX705: Traffic Flow Management (TFM),1121,8,TFMS Tech Refresh Phase 1,"Initial phase of system equipment replacement. Replace the hardware of the TFMS legacy application, National Traffic Management Log (NTML).",15/09/2011,31/12/2012,31/12/2012,31/12/2012,4.568,0,0,0.016,0.35,4.568,4.552,25/07/2012,14:44:52,8,,,,,
021-996986499,374,21,Department of Transportation,FAAXX705: Traffic Flow Management (TFM),1122,9,TFMS Tech Refresh Phase 2 (APB),"Perform Tech Refresh of all remaining TFM Processing Center system hardware. Replaces equipment of the TFM Processing Center (TPC), also referred to as TFMS Core. This includes the TFMS operational, back-up, test and development strings.",30/03/2012,30/09/2015,30/09/2012,30/09/2012,32.67,0,0,0,0,1.634,1.634,25/05/2012,10:20:21,9,,,,,
021-620588994,375,21,Department of Transportation,FAAXX703: System Wide Information Management (SWIM),841,37,Segment 2 Governance ,"SWIM Segment 2 Governance entails the strategic governance processes development, the Governance Plan FY12 Review/Update, definition and development of Enterprise Information Management.",01/07/2011,30/09/2017,27/09/2012,27/09/2012,26,0,0,0,0,1.155,1.155,26/06/2012,13:27:31,37,,,,,
021-620588994,375,21,Department of Transportation,FAAXX703: System Wide Information Management (SWIM),842,41,Segment 2 SWIM Requirements and Architecture ,"Standards in the SOA environment are rapidly evolving, and are expected to change between SWIM segments. To accommodate these changes, the SWIM architecture encourages the separation of mission logic components, which implement Air Traffic Management (ATM) services, from information technology (IT) components, which implement standards-based core services. For example, the core services allow IT software components to be replaced as necessary to adapt to changing standards, with minimal impact.",01/07/2011,30/09/2017,27/09/2012,27/09/2012,246,0,0,0,0,32.85,32.85,25/07/2012,14:43:58,41,,,,,
021-620588994,375,21,Department of Transportation,FAAXX703: System Wide Information Management (SWIM),843,91,Traffic Flow Management SIP ,Traffic Flow Management (TFM) - The Reroute Data Exchange (RR) will allow for the transfer of flight plan amendments and pre-departure rerouting information between TFM and En Route domains.,01/06/2009,30/06/2014,30/05/2012,30/05/2012,22,0,0,0,0,0.5,0.5,25/07/2012,14:43:58,91,,,,,
021-620588994,375,21,Department of Transportation,FAAXX703: System Wide Information Management (SWIM),844,61,Pilot Reports Data Publication for the Weather Message Switching Center Replacement (WMSCR) SIP ,Weather Message Switching Center Replacement (WMSCR) enables the distribution of Pilot Reports (PIREPs) and altimeter settings to Aviation Weather Centers (AWCs) for the generation of advisories on significant weather impacting aviation.,01/10/2008,30/06/2012,30/06/2012,29/06/2012,3,1,1.11,0,0,0.4,0.4,25/07/2012,14:43:58,61,,,,,
021-620588994,375,21,Department of Transportation,FAAXX703: System Wide Information Management (SWIM),845,75,SWIM Terminal Data Distribution for the Terminal Data Distribution System (TDDS) SIP ,"SWIM Terminal Data Distribution System (TDDS) provides the infrastructure for a SWIM interface to Terminal legacy systems such as Runway Visual Range (RVR), Airport Surface Detection Equipment, Model X (ASDE-X), and Electronic Flight Strip Transfer System (EFSTS).",06/02/2009,20/04/2015,30/08/2012,30/08/2012,27,-1,-0.33,0,0,7.2,7.2,25/07/2012,14:43:58,75,,,,,
021-620588994,375,21,Department of Transportation,FAAXX703: System Wide Information Management (SWIM),846,81,EnRoute Flight Data Publication,"Provide the flight plan data to TFM and other NAS programs, allowing for the amendments to filed flight plans. The amended flight plans are transferred back for distribution within the En-Route domain.",01/10/2008,27/03/2015,31/03/2012,31/03/2012,111,0,0,0,0,0.669,0.669,26/06/2012,13:27:31,81,,,,,
021-189475443,376,21,Department of Transportation,FAAXX612: System Approach for Safety Oversight (SASO/AVS),423,A,AFS SAS Design,AFS Safety Assurance System (SAS) is designed.,01/10/2010,31/01/2012,30/12/2011,31/01/2012,11.075,-32,-17.58,0.01952,0.89,2.2,2.18048,26/06/2012,13:27:30,A,,,,,
021-189475443,376,21,Department of Transportation,FAAXX612: System Approach for Safety Oversight (SASO/AVS),425,C,Change Management & Implementation,"Workforce outreach, training design, development and delivery, and transition planning, communications.",01/10/2011,30/09/2013,30/09/2012,30/09/2012,9.5,0,0,0.93,18.6,5,4.07,26/06/2012,13:27:30,C,,,,,
021-113910548,377,21,Department of Transportation,FAAXX709: Runway Status Lights (RWSL),1205,MCO,Orlando RWSL,Site implementation of RWSL at Orlando Airport.,07/12/2007,15/06/2012,31/08/2011,08/02/2013,8.375249,-527,-277.37,-1.381,-21.51,6.42,7.801,25/07/2012,14:44:52,MCO,,,,,
021-113910548,377,21,Department of Transportation,FAAXX709: Runway Status Lights (RWSL),,MSP,Minneapolis RWSL,Site implementation of RWSL at Minneapolis Airport.,28/02/2008,16/10/2012,06/02/2012,28/11/2012,6.593198,-296,-57.36,-0.699802,-14.83,4.718453,5.418255,25/07/2012,14:44:52,MSP,,,,,
021-113910548,377,21,Department of Transportation,FAAXX709: Runway Status Lights (RWSL),1210,IAD,Dulles RWSL,Site implementation of RWSL at Dulles Airport.,10/12/2007,16/10/2012,16/01/2012,16/03/2012,9.401802,-60,-13.04,0.004514,0.31,1.462152,1.457638,26/06/2012,13:29:49,IAD,,,,,
021-113910548,377,21,Department of Transportation,FAAXX709: Runway Status Lights (RWSL),1211,FLL,Ft. Lauderdale RWSL,Site implementation of RWSL at Ft. Lauderdale Airport.,28/02/2008,16/10/2012,27/02/2012,15/11/2012,4.955238,-262,-91.93,-1.270589,-41.96,3.027898,4.298487,23/08/2012,11:34:12,FLL,,,,,
021-113910548,377,21,Department of Transportation,FAAXX709: Runway Status Lights (RWSL),1212,SEA,Seattle RWSL,Site implementation of RWSL at Seattle Airport.,28/02/2008,16/10/2012,25/01/2012,23/10/2012,5.971,-272,-102.26,0.009308,0.58,1.613174,1.603866,23/08/2012,11:34:12,SEA,,,,,
021-113910548,377,21,Department of Transportation,FAAXX709: Runway Status Lights (RWSL),1215,LGA,LaGuardia RWSL,Site implementation of RWSL at LaGuardia Airport.,24/07/2008,17/04/2014,03/05/2013,15/11/2012,5.685,169,30.07,2.993,66.39,4.508,1.515,25/07/2012,14:44:52,LGA,,,,,
021-113910548,377,21,Department of Transportation,FAAXX709: Runway Status Lights (RWSL),1217,DEN,Denver RWSL,Site implementation of RWSL at Denver Airport.,28/02/2008,28/09/2016,21/07/2011,21/07/2011,7.317,0,0,0,0,0.815237,0.815237,25/10/2011,12:03:31,DEN,,,,,
021-113910548,377,21,Department of Transportation,FAAXX709: Runway Status Lights (RWSL),1219,PHL,Philadelphia RWSL,Site implementation of RWSL at Philadelphia Airport.,28/02/2008,16/09/2015,25/07/2011,25/07/2011,10.789,0,0,0,0,0.85988,0.85988,25/10/2011,12:03:31,PHL,,,,,
021-960419306,378,21,Department of Transportation,FAAXX710: Regulation and Certification Infrastructure for System Safety (RCISS/AVS),695,A ,Mobility - Life-Cycle Refresh for Personal Computers,This project provides enhanced equipment and communications to the safety workforce by deploying a set of tools that will improve productivity.,03/10/2011,28/09/2012,28/09/2012,28/09/2012,3.57573,0,0,0.05,1.4,3.57573,3.52573,26/06/2012,13:29:50,A,,,,,
021-960419306,378,21,Department of Transportation,FAAXX710: Regulation and Certification Infrastructure for System Safety (RCISS/AVS),696,B ,Mobility - Lifecycle Refresh for Other Hardware / Devices,"This project provides enhanced equipment and communications to the safety workforce including external hard drives, peripheral devices and new technology.",03/10/2011,28/09/2012,28/09/2012,28/09/2012,1.721284,0,0,0.08,4.65,1.721284,1.641284,30/07/2012,10:06:39,B,,,,,
021-960419306,378,21,Department of Transportation,FAAXX710: Regulation and Certification Infrastructure for System Safety (RCISS/AVS),697,C ,Enterprise Data Center - Storage Team Projects,"The purpose of this project component is to design and implement new storage area networks to facilitate modernization and consolidation of Airman Record Building and Registry data centers, and implement a new storage area network to facilitate Disaster Recovery of the data center applications.",14/10/2011,13/02/2013,13/02/2013,28/08/2012,1.673141,166,35.47,-0.534273,-31.93,1.673141,2.207414,30/07/2012,10:06:39,C,,,,,
021-960419306,378,21,Department of Transportation,FAAXX710: Regulation and Certification Infrastructure for System Safety (RCISS/AVS),700,F ,Enterprise Data Center - Registry Team Projects,"The purpose of this project is to upgrade and modernize Registry infrastructure components, consolidate and migrate systems to the Airman Records Building data center, provide disaster recovery of Registry Modernization System and modernize digital document storage.",02/11/2011,13/03/2013,13/03/2013,08/11/2012,1.905005,125,25.15,0.115,6.24,1.843647,1.728647,30/07/2012,10:06:39,F,,,,,
021-960419306,378,21,Department of Transportation,FAAXX710: Regulation and Certification Infrastructure for System Safety (RCISS/AVS),704,J ,Telecommunications - Local Area Network Deployment 5,"Circuit upgrades are bandwidth upgrades to existing sites to alleviate traffic congestion on local circuits. This facilitates the reliable, timely transfer of data for the Aviation Safety workforce.",03/10/2011,28/09/2012,28/09/2012,28/09/2012,1.992704,0,0,0.204216,10.25,1.992704,1.788488,30/07/2012,10:06:39,J,,,,,
021-960419306,378,21,Department of Transportation,FAAXX710: Regulation and Certification Infrastructure for System Safety (RCISS/AVS),708,N ,Training - Train the Trainer and Training Materials,Provide training for 'Train the Trainer' and the supporting materials.,03/10/2011,28/09/2012,28/09/2012,28/09/2012,0.205024,0,0,0.106386,51.89,0.205024,0.098638,30/07/2012,10:06:39,N,,,,,
021-960419306,378,21,Department of Transportation,FAAXX710: Regulation and Certification Infrastructure for System Safety (RCISS/AVS),709,O ,Printers - Refresh Cycle 5,The Printers project mission is to procure and maintain quality printers and multi-functional devices for the Aviation Safety workforce.,03/10/2011,28/09/2012,28/09/2012,28/09/2012,0.400654,0,0,0.069286,17.29,0.400654,0.331368,30/07/2012,10:06:39,O,,,,,
021-960419306,378,21,Department of Transportation,FAAXX710: Regulation and Certification Infrastructure for System Safety (RCISS/AVS),710,P ,Commercial Off the Shelf Software - Microsoft Enterprise License Agreement True Up,Mechanism for reconciling actual software usage against contracted usage limitatons. Inventory to identify actual usage over and above contract limitations.,01/02/2012,09/05/2012,09/05/2012,14/06/2012,0.094825,-114,-116.33,0,0,0.094825,0.094825,30/07/2012,10:06:39,P,,,,,
021-960419306,378,21,Department of Transportation,FAAXX710: Regulation and Certification Infrastructure for System Safety (RCISS/AVS),711,Q,Complete Deployment 3 and 4 Technology Refreshes,"This project includes Segment 1 milestones for Service Oriented Architecture, Printers, Data Architecture Framework, Telecommunications Training, Mobility, Enterprise Data Center and RCISS Program Support.",01/10/2009,28/02/2012,28/02/2012,28/09/2012,19.611,-213,-24.2,-0.799702,-4.08,19.611,20.410702,26/06/2012,13:29:50,Q,,,,,
